1001|Horgrak|REGULAR|SMALL|10.00|300.00k|15.00k|30.00k|16.00k|105.00k|(5 5),(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500)
1002|Ataxes|REGULAR|SMALL|10.00|4.00m|200.00k|400.00k|210.00k|1.40m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1003|Briareus|REGULAR|SMALL|10.00|9.00m|450.00k|900.00k|1.08m|3.15m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1004|Bloodmane|REGULAR|SMALL|10.00|14.00m|700.00k|1.40m|735.00k|4.90m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1005|Ironclad|REGULAR|SMALL|10.00|20.00m|1.00m|2.00m|1.05m|7.00m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1006|Gunnar|REGULAR|SMALL|10.00|24.00m|1.20m|2.40m|2.88m|8.40m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1007|Maraak|REGULAR|SMALL|10.00|30.00m|1.50m|3.00m|1.55m|10.50m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1008|Hargamesh|REGULAR|SMALL|10.00|36.00m|1.80m|3.60m|1.89m|12.60m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1009|Dragon's Lair|REGULAR|SMALL|13.00|1.50b|576.923077m|11.538461539b|150.00m|675.00m|(10 50),(50 100),(100 250),(250 500),(500 1000),(1000 2000)
1010|Krugnug|REGULAR|SMALL|25.00|4.00b|80.00m|160.00m|100.00m|1.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1011|Thaltherda|REGULAR|SMALL|25.00|7.50b|150.00m|300.00m|120.00m|1.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1012|Serpina|REGULAR|SMALL|15.00|187.50m|6.25m|12.50m|24.375m|24.375m|(10 50),(50 100),(100 250),(250 500),(500 1000),(1000 2000)
1013|Zugen|REGULAR|SMALL|25.00|10.00b|200.00m|400.00m|120.00m|1.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1014|Nereidon|REGULAR|SMALL|30.00|15.00b|250.00m|500.00m|330.00m|5.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1015|Rekkr II|REGULAR|SMALL|25.00|18.00b|360.00m|720.00m|250.00m|3.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1016|Alchemist|REGULAR|SMALL|25.00|20.00b|400.00m|800.00m|500.00m|1.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1017|Bakku|REGULAR|SMALL|25.00|22.00b|440.00m|880.00m|1.00b|2.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1018|Valtrias|REGULAR|SMALL|25.00|25.00b|500.00m|1.00b|500.00m|5.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1019|Bad Blood|REGULAR|SMALL|30.00|32.00b|53.333333334b|106.666666667b|1.00b|5.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1020|Frost|REGULAR|SMALL|20.00|60.00b|1.50b|3.00b|2.50b|7.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1021|Bloodsuckers|REGULAR|SMALL|20.00|70.00b|1.75b|3.50b|2.00b|10.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1022|Sight of Solus|REGULAR|SMALL|20.00|100.00b|2.50b|5.00b|3.00b|10.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1023|Deadly Horgrak|REGULAR|SMALL|100.00|800.00t|4.00t|8.00t|5.00t|600.00t|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1024|Garganoth|REGULAR|SMALL|30.00|2.08t|3.466666666667t|6.933333333334t|70.00b|1.90t|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1025|Deadly Bloodmane|REGULAR|SMALL|120.00|30.00q|125.00t|250.00t|200.00t|1.50q|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1026|Shackled Spirit|REGULAR|SMALL|30.00|496.584t|8.2764t|16.5528t|15.00t|50.00t|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
2001|Mazalu|REGULAR|MEDIUM|50.00|10.00m|100.00k|200.00k|25.00k|1.70m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2002|Alice|REGULAR|MEDIUM|50.00|30.00m|300.00k|600.00k|1.23m|5.10m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2003|Scylla|REGULAR|MEDIUM|50.00|50.00m|500.00k|1.00m|125.00k|8.50m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2004|Kerberos|REGULAR|MEDIUM|50|70.00m|700.00k|1.40m|1.75m|11.90m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2005|Zombies|REGULAR|MEDIUM|50|90.00m|900.00k|1.80m|225.00k|15.30m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2006|Nidhogg|REGULAR|MEDIUM|50|104.00m|1.04m|2.08m|260.00k|17.68m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
2007|Erakka-Sak|REGULAR|MEDIUM|50|124.00m|1.24m|2.48m|310.00k|21.08m|(10 25),(50 50),(100 100),(250 250),(500 500),(1000 1000),(5000 2000)
