1|Bastion of Blood|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,NERFED,RARE_SPAWN
2|Monsters and Magma|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,ENDURANCE
3|The Grey Death|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
4|Giants of Chalua|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,ENDURANCE,RARE_SPAWN
5|The Frozen War|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
6|The Nightmare Queen's Horde|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
7|The Risen Temple|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
8|The Black Hand Holdout|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
9|Covetous Cavern|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
10|Ironpeak Halls|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
11|Scales of Battle|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
12|Dark Cathedral|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
13|Terrible Tides|COMPLETE,ANY_CHALLENGE,SPEED_RUN,HAILSTORM,FATIGUE,RARE_SPAWN
